path,name,set_id,composer_path,composer_name,composer_gender,desc,sets,scores,scores_paths,track_names,contains_piano_track?,piano_scores_paths,paths_type0_piano,piano_merged_type0_chunks_paths
"Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur",À une Fleur,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur/lc5079494.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur/lc5079494.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur/lc5079494.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur/lc5079494.mid_merged_piano_type0.midchunk0.midi"
"Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur",À une Fleur,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur/lc5079494.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur/lc5079494.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur/lc5079494.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/1_À_une_Fleur/lc5079494.mid_merged_piano_type0.midchunk1.midi"
"Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon",Adieux à Suzon,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon/lc5079502.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon/lc5079502.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon/lc5079502.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon/lc5079502.mid_merged_piano_type0.midchunk0.midi"
"Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon",Adieux à Suzon,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon/lc5079502.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon/lc5079502.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon/lc5079502.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/2_Adieux_à_Suzon/lc5079502.mid_merged_piano_type0.midchunk1.midi"
"Bizet,_Georges/Feuilles_d’album/3_Sonnet",Sonnet,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/3_Sonnet/lc5079512.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/3_Sonnet/lc5079512.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/3_Sonnet/lc5079512.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/3_Sonnet/lc5079512.mid_merged_piano_type0.midchunk0.midi"
"Bizet,_Georges/Feuilles_d’album/3_Sonnet",Sonnet,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/3_Sonnet/lc5079512.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/3_Sonnet/lc5079512.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/3_Sonnet/lc5079512.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/3_Sonnet/lc5079512.mid_merged_piano_type0.midchunk1.midi"
"Bizet,_Georges/Feuilles_d’album/4_Guitare",Guitare,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/4_Guitare/lc5079521.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/4_Guitare/lc5079521.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/4_Guitare/lc5079521.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/4_Guitare/lc5079521.mid_merged_piano_type0.midchunk0.midi"
"Bizet,_Georges/Feuilles_d’album/4_Guitare",Guitare,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/4_Guitare/lc5079521.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/4_Guitare/lc5079521.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/4_Guitare/lc5079521.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/4_Guitare/lc5079521.mid_merged_piano_type0.midchunk1.midi"
"Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour",Rose d’Amour,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour/lc5079527.mid","['other', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour/lc5079527.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour/lc5079527.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour/lc5079527.mid_merged_piano_type0.midchunk0.midi"
"Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour",Rose d’Amour,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour/lc5079527.mid","['other', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour/lc5079527.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour/lc5079527.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/5_Rose_d’Amour/lc5079527.mid_merged_piano_type0.midchunk1.midi"
"Bizet,_Georges/Feuilles_d’album/6_Le_grillon",Le grillon,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid","['voice', 'other', 'piano', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid_merged_piano_type0.midchunk0.midi"
"Bizet,_Georges/Feuilles_d’album/6_Le_grillon",Le grillon,5079497,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid","['voice', 'other', 'piano', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bizet,_Georges/Feuilles_d’album/6_Le_grillon/lc5079539.mid_merged_piano_type0.midchunk1.midi"
"Bonis,_Mel/_/Allons_prier!",Allons prier!,5107411,"Bonis,_Mel",Mélanie Bonis,Female,French composer,1,2,"../Lieder/scores/Bonis,_Mel/_/Allons_prier!/lc6635424.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bonis,_Mel/_/Allons_prier!/lc6635424.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bonis,_Mel/_/Allons_prier!/lc6635424.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bonis,_Mel/_/Allons_prier!/lc6635424.mid_merged_piano_type0.midchunk0.midi"
"Bonis,_Mel/_/Allons_prier!",Allons prier!,5107411,"Bonis,_Mel",Mélanie Bonis,Female,French composer,1,2,"../Lieder/scores/Bonis,_Mel/_/Allons_prier!/lc6635424.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bonis,_Mel/_/Allons_prier!/lc6635424.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bonis,_Mel/_/Allons_prier!/lc6635424.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bonis,_Mel/_/Allons_prier!/lc6635424.mid_merged_piano_type0.midchunk1.midi"
"Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93","Le chat sur le toit, Op.93",5107411,"Bonis,_Mel",Mélanie Bonis,Female,French composer,1,2,"../Lieder/scores/Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93/lc6635391.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93/lc6635391.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93/lc6635391.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93/lc6635391.mid_merged_piano_type0.midchunk0.midi"
"Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93","Le chat sur le toit, Op.93",5107411,"Bonis,_Mel",Mélanie Bonis,Female,French composer,1,2,"../Lieder/scores/Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93/lc6635391.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93/lc6635391.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93/lc6635391.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bonis,_Mel/_/Le_chat_sur_le_toit,_Op.93/lc6635391.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/_/Attente",Attente,5101802,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/_/Attente/lc5983850.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Attente/lc5983850.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Attente/lc5983850.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/_/Attente/lc5983850.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/_/Attente",Attente,5101802,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/_/Attente/lc5983850.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Attente/lc5983850.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Attente/lc5983850.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/_/Attente/lc5983850.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/_/Dans_l’immense_tristesse",Dans l’immense tristesse,5101802,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/_/Dans_l’immense_tristesse/lc5983777.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Dans_l’immense_tristesse/lc5983777.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Dans_l’immense_tristesse/lc5983777.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/_/Dans_l’immense_tristesse/lc5983777.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/_/Dans_l’immense_tristesse",Dans l’immense tristesse,5101802,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/_/Dans_l’immense_tristesse/lc5983777.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Dans_l’immense_tristesse/lc5983777.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Dans_l’immense_tristesse/lc5983777.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/_/Dans_l’immense_tristesse/lc5983777.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/_/Reflets",Reflets,5101802,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/_/Reflets/lc5983679.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Reflets/lc5983679.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Reflets/lc5983679.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/_/Reflets/lc5983679.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/_/Reflets",Reflets,5101802,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/_/Reflets/lc5983679.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Reflets/lc5983679.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/_/Reflets/lc5983679.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/_/Reflets/lc5983679.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie",Elle était descendue au bas de la prairie,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie/lc5852737.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie/lc5852737.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie/lc5852737.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie/lc5852737.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie",Elle était descendue au bas de la prairie,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie/lc5852737.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie/lc5852737.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie/lc5852737.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/01_Elle_était_descendue_au_bas_de_la_prairie/lc5852737.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie",Elle est gravement gaie,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie/lc5854283.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie/lc5854283.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie/lc5854283.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie/lc5854283.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie",Elle est gravement gaie,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie/lc5854283.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie/lc5854283.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie/lc5854283.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/02_Elle_est_gravement_gaie/lc5854283.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste","Parfois, je suis triste",5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste/lc5855622.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste/lc5855622.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste/lc5855622.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste/lc5855622.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste","Parfois, je suis triste",5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste/lc5855622.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste/lc5855622.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste/lc5855622.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/03_Parfois,_je_suis_triste/lc5855622.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait",Un poète disait,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait/lc5857981.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait/lc5857981.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait/lc5857981.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait/lc5857981.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait",Un poète disait,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait/lc5857981.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait/lc5857981.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait/lc5857981.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/04_Un_poète_disait/lc5857981.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Au pied de mon lit,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit/lc5861338.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit/lc5861338.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit/lc5861338.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit/lc5861338.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit",Au pied de mon lit,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit/lc5861338.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit/lc5861338.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit/lc5861338.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/05_Au_pied_de_mon_lit/lc5861338.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve",Si tout ceci n’est qu’un pauvre rêve,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve/lc5861752.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve/lc5861752.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve/lc5861752.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve/lc5861752.mid_merged_piano_type0.midchunk0.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve",Si tout ceci n’est qu’un pauvre rêve,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve/lc5861752.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve/lc5861752.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve/lc5861752.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/06_Si_tout_ceci_n’est_qu’un_pauvre_rêve/lc5861752.mid_merged_piano_type0.midchunk1.midi"
"Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant",Nous nous aimerons tant,5100931,"Boulanger,_Lili",Lili Boulanger,Female,French composer,2,16,"../Lieder/scores/Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant/lc5864781.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant/lc5864781.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant/lc5864781.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Boulanger,_Lili/Clairières_dans_le_ciel/07_Nous_nous_aimerons_tant/lc5864781.mid_merged_piano_type0.midchunk0.midi"
